group,crosswalk_id,elapsed_sec_baseline_avg,elapsed_sec_smart_avg,sim_duration_baseline_avg,sim_duration_smart_avg,warmup_baseline_avg,warmup_smart_avg,step_length_baseline_avg,step_length_smart_avg,ped_link_index_baseline_avg,ped_link_index_smart_avg,step_count_baseline_avg,step_count_smart_avg,ped_crossing_presence_steps_baseline_avg,ped_crossing_presence_steps_smart_avg,ped_crossing_person_count_baseline_avg,ped_crossing_person_count_smart_avg,pedestrian_crossing_count_baseline_avg,pedestrian_crossing_count_smart_avg,expected_ped_repeat_count_baseline_avg,expected_ped_repeat_count_smart_avg,pedestrian_clearance_failure_count_baseline_avg,pedestrian_clearance_failure_count_smart_avg,unfinished_crossing_count_baseline_avg,unfinished_crossing_count_smart_avg,ped_wait_time_mean_baseline_avg,ped_wait_time_mean_smart_avg,ped_wait_time_max_baseline_avg,ped_wait_time_max_smart_avg,veh_delay_mean_baseline_avg,veh_delay_mean_smart_avg,veh_delay_max_baseline_avg,veh_delay_max_smart_avg,extension_count_baseline_avg,extension_count_smart_avg,generated_vehicle_count_baseline_avg,generated_vehicle_count_smart_avg,vehicle_route_count_baseline_avg,vehicle_route_count_smart_avg,unique_vehicle_route_count_baseline_avg,unique_vehicle_route_count_smart_avg,duplicate_factor_baseline_avg,duplicate_factor_smart_avg,unique_vehicle_route_ratio_baseline_avg,unique_vehicle_route_ratio_smart_avg,used_vehicle_edges_baseline_avg,used_vehicle_edges_smart_avg,network_arrived_vehicles_baseline_avg,network_arrived_vehicles_smart_avg,network_departed_vehicles_baseline_avg,network_departed_vehicles_smart_avg,network_mean_travel_time_baseline_avg,network_mean_travel_time_smart_avg,network_mean_time_loss_baseline_avg,network_mean_time_loss_smart_avg,network_avg_delay_sec_baseline_avg,network_avg_delay_sec_smart_avg,network_vehicle_edge_coverage_ratio_baseline_avg,network_vehicle_edge_coverage_ratio_smart_avg,network_teleport_count_baseline_avg,network_teleport_count_smart_avg,network_collision_count_baseline_avg,network_collision_count_smart_avg,local_500m_vehicle_count_baseline_avg,local_500m_vehicle_count_smart_avg,local_500m_mean_speed_baseline_avg,local_500m_mean_speed_smart_avg,local_500m_mean_time_loss_baseline_avg,local_500m_mean_time_loss_smart_avg,local_500m_avg_delay_sec_baseline_avg,local_500m_avg_delay_sec_smart_avg,local_500m_queue_proxy_baseline_avg,local_500m_queue_proxy_smart_avg,local_500m_stop_count_baseline_avg,local_500m_stop_count_smart_avg,total_vehicle_arrivals_baseline_avg,total_vehicle_arrivals_smart_avg,surrounding_lane_count_baseline_avg,surrounding_lane_count_smart_avg,vehicle_bbox_coverage_baseline_avg,vehicle_bbox_coverage_smart_avg,pet_event_count_baseline_avg,pet_event_count_smart_avg,very_risky_crossing_count_baseline_avg,very_risky_crossing_count_smart_avg,risky_crossing_count_baseline_avg,risky_crossing_count_smart_avg,safe_crossing_count_baseline_avg,safe_crossing_count_smart_avg,low_pet_event_count_baseline_avg,low_pet_event_count_smart_avg,low_pet_per_100_crossings_baseline_avg,low_pet_per_100_crossings_smart_avg,low_pet_per_100_conflict_candidates_baseline_avg,low_pet_per_100_conflict_candidates_smart_avg,pet_min_baseline_avg,pet_min_smart_avg,pet_p10_baseline_avg,pet_p10_smart_avg,pet_mean_baseline_avg,pet_mean_smart_avg,pet_coverage_ratio_baseline_avg,pet_coverage_ratio_smart_avg,accident_risk_estimate_baseline_avg,accident_risk_estimate_smart_avg,average_pedestrian_wait_time_baseline_avg,average_pedestrian_wait_time_smart_avg,pedestrian_waiting_time_mean_baseline_avg,pedestrian_waiting_time_mean_smart_avg,pedestrian_waiting_time_baseline_avg,pedestrian_waiting_time_smart_avg,pedestrian_waiting_time_max_baseline_avg,pedestrian_waiting_time_max_smart_avg,max_pedestrian_wait_time_baseline_avg,max_pedestrian_wait_time_smart_avg,veh_avg_delay_sec_baseline_avg,veh_avg_delay_sec_smart_avg,avg_vehicle_delay_sec_baseline_avg,avg_vehicle_delay_sec_smart_avg,surrounding_road_delay_sec_baseline_avg,surrounding_road_delay_sec_smart_avg,vehicle_delay_cost_baseline_avg,vehicle_delay_cost_smart_avg,avg_queue_length_baseline_avg,avg_queue_length_smart_avg,max_queue_length_baseline_avg,max_queue_length_smart_avg,safety_risk_score_baseline_avg,safety_risk_score_smart_avg,accident_expected_value_baseline_avg,accident_expected_value_smart_avg,elderly_incomplete_crossings_baseline_avg,elderly_incomplete_crossings_smart_avg,pedestrian_green_extension_count_baseline_avg,pedestrian_green_extension_count_smart_avg,total_extension_sec_baseline_avg,total_extension_sec_smart_avg
current_main_12,LINK_120139,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,11.0,11.0,6000.0,6000.0,862.0,436.2,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,11.452333333333334,11.249333333333333,84.03,83.27333333333334,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,341.53333333333336,343.4,13.605950946544558,13.471235744854733,45.60666346478766,45.74849699724595,11.482444994148665,11.374874018690576,5.798907103825138,5.933333333333334,138.96666666666667,143.0,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,18.0,16.0,17.566666666666666,16.0,0.2,0.0,0.2333333333333333,0.0,17.766666666666666,16.0,118.44444444444444,106.66666666666666,136.66666666666666,123.07692307692304,0.0,0.0,0.0,0.0,0.0874074074074074,0.0,1.2000000000000002,1.067,1.177777777777778,1.0666666666666669,,,,,,,,,,,11.452333333333334,11.249333333333333,,,11.482444994148665,11.374874018690576,,,,,,,1.177777777777778,1.0666666666666669,1.177777777777778,1.0666666666666669,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,LINK_239754,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,1.0,1.0,6000.0,6000.0,1003.6666666666666,148.0,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.52033333333333,30.055000000000003,98.64,98.67333333333336,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,644.7333333333333,641.1666666666666,8.569240182451937,8.329254616133143,132.89177897193284,138.45021542866894,28.889563137083897,30.48134009108069,28.779781420765023,30.622950819672138,565.5666666666667,550.5666666666667,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,15.0,15.0,10.866666666666667,7.2,0.3333333333333333,0.4666666666666667,3.8,7.333333333333333,11.2,7.666666666666667,74.66666666666666,51.111111111111114,124.44444444444444,85.18518518518518,0.0,6.9499999999999975,0.0,7.278000000000001,4.996888888888888,9.213777777777777,1.0,1.0,0.7355555555555553,0.4955555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.52033333333333,30.055000000000003,,,28.889563137083897,30.48134009108069,,,,,,,0.7355555555555553,0.4955555555555556,0.7355555555555553,0.4955555555555556,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,NODE_10335,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,12.0,12.0,6000.0,6000.0,436.03333333333336,437.2,10.0,10.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.791,38.246,99.86666666666666,99.60666666666664,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,324.5,322.7,5.514945197267567,5.620384569862131,107.75830510912192,106.27105846482635,39.231492795077735,38.71123182176028,27.525136612021857,26.966666666666672,345.76666666666665,343.93333333333334,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,10.0,10.0,2.8,2.8,0.5666666666666667,0.5666666666666667,6.633333333333334,6.633333333333334,3.3666666666666667,3.3666666666666667,33.666666666666664,33.666666666666664,84.16666666666667,84.16666666666667,4.436666666666678,4.39333333333333,5.9156666666666675,5.209333333333341,9.436000000000003,9.331333333333337,1.0,1.0,0.3083333333333333,0.3083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.791,38.246,,,39.231492795077735,38.71123182176028,,,,,,,0.3083333333333333,0.3083333333333333,0.3083333333333333,0.3083333333333333,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,NODE_10376,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,4.0,4.0,6000.0,6000.0,719.1333333333333,301.0,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,37.86966666666667,39.498666666666665,97.96666666666664,98.84333333333332,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,575.9333333333333,571.2,5.489773148276937,5.141132927275574,126.6183355698789,132.10959162961055,38.274499354297056,39.93177923153251,44.91584699453553,48.434972677595624,668.3666666666667,718.2666666666667,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,100.0,57.692307692307686,57.692307692307686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,37.86966666666667,39.498666666666665,,,38.274499354297056,39.93177923153251,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,NODE_10377,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,4.0,4.0,6000.0,6000.0,719.1333333333333,301.0,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.86966666666667,39.498666666666665,97.96666666666664,98.84333333333332,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,575.9333333333333,571.2,5.489773148276937,5.141132927275574,126.6183355698789,132.10959162961055,38.274499354297056,39.93177923153251,44.91584699453553,48.434972677595624,668.3666666666667,718.2666666666667,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,100.0,57.692307692307686,57.692307692307686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.86966666666667,39.498666666666665,,,38.274499354297056,39.93177923153251,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,NODE_10381,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,11.0,11.0,6000.0,6000.0,239.46666666666667,237.6,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.23633333333333,18.063666666666663,94.77666666666669,96.19333333333334,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,421.43333333333334,417.1666666666667,11.878888772499586,11.375100273838711,99.38394204274104,102.98759219004884,16.5497929376908,18.474873420016383,10.78743169398907,12.03606557377049,238.46666666666667,238.4,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,10.0,10.0,3.466666666666667,3.466666666666667,0.2333333333333333,0.2666666666666666,6.3,6.266666666666667,3.7,3.7333333333333334,74.0,74.66666666666667,46.25,46.666666666666664,8.979999999999997,9.013333333333335,9.492999999999997,9.448333333333334,24.75,24.683,2.0,2.0,0.7166666666666666,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.23633333333333,18.063666666666663,,,16.5497929376908,18.474873420016383,,,,,,,0.7166666666666666,0.72,0.7166666666666666,0.72,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,NODE_125895,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,11.0,11.0,6000.0,6000.0,837.9666666666667,678.0,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.411,11.208333333333334,84.03,83.27333333333334,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,342.0,343.8666666666667,13.595979341196331,13.46374835463346,45.48099264211123,45.60907576961755,11.438035495842588,11.332924594142217,5.803825136612023,5.93551912568306,139.13333333333333,143.1,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,18.0,16.0,18.0,16.0,0.0,0.0,0.0,0.0,18.0,16.0,120.0,106.66666666666666,138.46153846153848,123.07692307692304,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,1.067,1.2000000000000002,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.411,11.208333333333334,,,11.438035495842588,11.332924594142217,,,,,,,1.2000000000000002,1.0666666666666669,1.2000000000000002,1.0666666666666669,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,NODE_150723,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,4.0,4.0,6000.0,6000.0,719.1333333333333,301.0,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,37.86966666666667,39.498666666666665,97.96666666666664,98.84333333333332,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,575.9333333333333,571.2,5.489773148276937,5.141132927275574,126.6183355698789,132.10959162961055,38.274499354297056,39.93177923153251,44.91584699453553,48.434972677595624,668.3666666666667,718.2666666666667,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,100.0,57.692307692307686,57.692307692307686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,37.86966666666667,39.498666666666665,,,38.274499354297056,39.93177923153251,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,NODE_167173,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,12.0,12.0,6000.0,6000.0,436.03333333333336,437.2,10.0,10.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,38.791,38.246,99.86666666666666,99.60666666666664,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,324.5,322.7,5.514945197267567,5.620384569862131,107.75830510912192,106.27105846482635,39.231492795077735,38.71123182176028,27.525136612021857,26.966666666666672,345.76666666666665,343.93333333333334,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,10.0,10.0,2.8,2.8,0.5666666666666667,0.5666666666666667,6.633333333333334,6.633333333333334,3.3666666666666667,3.3666666666666667,33.666666666666664,33.666666666666664,84.16666666666667,84.16666666666667,4.436666666666678,4.39333333333333,5.9156666666666675,5.209333333333341,9.436000000000003,9.331333333333337,1.0,1.0,0.3083333333333333,0.3083333333333333,,,,,,,,,,,38.791,38.246,,,39.231492795077735,38.71123182176028,,,,,,,0.3083333333333333,0.3083333333333333,0.3083333333333333,0.3083333333333333,0.0,0.0,0.0,1.0,0.0,5.0
current_main_12,NODE_5831,1466.4794000000004,1436.9866000000002,600.0,600.0,0.0,0.0,0.1,0.1,1.0,1.0,6000.0,6000.0,1003.6666666666666,148.0,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,28.52033333333333,30.055000000000003,98.64,98.67333333333336,0.0,1.0,12.0,12.0,3480.0,3480.0,3479.9666666666667,3479.9666666666667,1.0000095812973078,1.0000095812973078,0.9999904214559387,0.9999904214559387,16571.633333333335,16571.633333333335,853.6333333333333,853.9666666666667,3466.866666666667,3466.633333333333,,,,,,,0.5748785545453228,0.5749467090094401,0.0,0.0,0.0,0.0,644.7333333333333,641.1666666666666,8.569240182451937,8.329254616133143,132.89177897193284,138.45021542866894,28.889563137083897,30.48134009108069,28.779781420765023,30.622950819672138,565.5666666666667,550.5666666666667,3466.866666666667,3466.633333333333,167.0,167.0,1.0,1.0,15.0,15.0,10.866666666666667,7.2,0.3333333333333333,0.4666666666666667,3.8,7.333333333333333,11.2,7.666666666666667,74.66666666666666,51.111111111111114,124.44444444444444,85.18518518518518,0.0,6.9499999999999975,0.0,7.278000000000001,4.996888888888888,9.213777777777777,1.0,1.0,0.7355555555555553,0.4955555555555556,,,,,,,,,,,28.52033333333333,30.055000000000003,,,28.889563137083897,30.48134009108069,,,,,,,0.7355555555555553,0.4955555555555556,0.7355555555555553,0.4955555555555556,0.0,0.0,0.0,1.0,0.0,5.0
