sim_time,crosswalk_id,tls_id,ped_link_index,phase_index,phase_state,ped_link_state,ped_has_green,ped_has_red,pedestrian_only_phase,non_ped_green_count
11.5,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
11.5,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
11.5,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
11.5,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
11.5,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
11.5,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
11.5,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
11.5,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
11.5,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
12.0,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
12.0,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
12.0,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
12.0,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
12.0,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
12.0,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
12.0,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
12.0,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
12.0,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
12.5,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
12.5,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
12.5,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
12.5,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
12.5,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
12.5,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
12.5,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
12.5,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
12.5,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
13.0,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
13.0,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
13.0,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
13.0,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
13.0,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
13.0,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
13.0,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
13.0,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
13.0,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
13.5,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
13.5,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
13.5,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
13.5,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
13.5,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
