run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,p1_p4_recovery_6,NODE_14937,1.0,baseline,1420.494,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,46.34,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16427.0,850.0,3466.0,,,,0.5719754643929177,0.0,0.0,565.0,4.6230250201692344,143.40137115920564,46.64592816500711,55.52459016393443,613.0,3466.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.34,,46.64592816500711,,,,1.0,1.0,0.0,0.0,0.0
smart_1,p1_p4_recovery_6,NODE_14937,1.0,smart,1387.189,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,45.37,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16427.0,866.0,3466.0,,,,0.5734545612737635,0.0,0.0,558.0,5.11575880405793,140.8498758476278,45.45600072516316,51.032786885245905,619.0,3466.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.37,,45.45600072516316,,,,1.0,1.0,0.0,1.0,5.0
baseline_2,p1_p4_recovery_6,NODE_14937,2.0,baseline,1437.237,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,45.56,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16742.0,806.0,3463.0,,,,0.5787619089050333,0.0,0.0,500.0,4.6850760047323785,134.24405244594868,45.90708756236022,55.75409836065574,686.0,3463.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.2199999999999988,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.56,,45.90708756236022,,,,1.0,1.0,0.0,0.0,0.0
smart_2,p1_p4_recovery_6,NODE_14937,2.0,smart,1430.349,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,44.76,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16742.0,791.0,3460.0,,,,0.576021229390525,0.0,0.0,503.0,4.780196048856248,135.4864891666402,45.154407665505225,54.65573770491803,668.0,3460.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.2199999999999988,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.76,,45.154407665505225,,,,1.0,1.0,0.0,1.0,5.0
baseline_3,p1_p4_recovery_6,NODE_14937,3.0,baseline,1363.091,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,52.53,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16585.0,906.0,3468.0,,,,0.5817201026667247,0.0,0.0,610.0,4.242041257057295,141.56601742948664,53.403370786516845,73.32786885245902,528.0,3468.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.53,,53.403370786516845,,,,1.0,1.0,0.0,0.0,0.0
smart_3,p1_p4_recovery_6,NODE_14937,3.0,smart,1331.712,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,50.7,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16585.0,920.0,3467.0,,,,0.5831121938486971,0.0,0.0,629.0,4.501007723353831,138.2639092535544,51.29232783854568,71.47540983606558,585.0,3467.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.7,,51.29232783854568,,,,1.0,1.0,0.0,1.0,5.0
baseline_4,p1_p4_recovery_6,NODE_14937,4.0,baseline,1395.202,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,36.26,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16555.0,851.0,3470.0,,,,0.5754556923478488,0.0,0.0,535.0,5.570100320173622,133.73026624885026,36.70235514018692,43.032786885245905,741.0,3470.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.26,,36.70235514018692,,,,1.0,1.0,0.0,0.0,0.0
smart_4,p1_p4_recovery_6,NODE_14937,4.0,smart,1413.728,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,34.45,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16555.0,888.0,3469.0,,,,0.5767172749815113,0.0,0.0,623.0,5.113253566321419,135.99015319785502,34.642097194542394,48.42622950819672,930.0,3469.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.45,,34.642097194542394,,,,1.0,1.0,0.0,1.0,5.0
baseline_5,p1_p4_recovery_6,NODE_14937,5.0,baseline,1382.415,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,43.3,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16582.0,890.0,3464.0,,,,0.5788924174533432,0.0,0.0,510.0,5.932762845134739,135.30068554561095,43.51505731922399,40.40983606557377,506.0,3464.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,43.3,,43.51505731922399,,,,1.0,1.0,0.0,0.0,0.0
smart_5,p1_p4_recovery_6,NODE_14937,5.0,smart,1402.311,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,40.54,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16582.0,901.0,3464.0,,,,0.5793709487971462,0.0,0.0,478.0,6.655653724963254,122.57598100413544,40.96534946900469,34.91803278688525,443.0,3464.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.54,,40.96534946900469,,,,1.0,1.0,0.0,1.0,5.0
baseline_6,p1_p4_recovery_6,NODE_14937,6.0,baseline,1393.855,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,32.44,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16569.0,867.0,3469.0,,,,0.5744116239613695,0.0,0.0,573.0,6.764433128199044,128.84789225783427,32.59404440755344,32.75409836065574,667.0,3469.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.44,,32.59404440755344,,,,1.0,1.0,0.0,0.0,0.0
smart_6,p1_p4_recovery_6,NODE_14937,6.0,smart,1423.379,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,32.21,96.5,1.0,6.0,3480.0,3480.0,1.0,1.0,16569.0,881.0,3469.0,,,,0.576151737938835,0.0,0.0,568.0,7.163595233337803,123.14169326926957,32.24478232334281,30.081967213114755,626.0,3469.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.21,,32.24478232334281,,,,1.0,1.0,0.0,1.0,5.0
baseline_7,p1_p4_recovery_6,NODE_14937,7.0,baseline,1421.817,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,37.98,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16562.0,856.0,3462.0,,,,0.5719754643929177,0.0,0.0,539.0,5.752795152958308,124.69838559144932,37.90035896467032,41.91803278688525,726.0,3462.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37.98,,37.90035896467032,,,,1.0,1.0,0.0,0.0,0.0
smart_7,p1_p4_recovery_6,NODE_14937,7.0,smart,1389.171,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,35.89,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16562.0,858.0,3462.0,,,,0.5714534301996781,0.0,0.0,542.0,6.355569408884403,122.63263944633395,35.867104731095836,37.131147540983605,673.0,3462.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35.89,,35.867104731095836,,,,1.0,1.0,0.0,1.0,5.0
baseline_8,p1_p4_recovery_6,NODE_14937,8.0,baseline,1437.101,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,29.37,96.7,0.0,6.0,3480.0,3480.0,1.0,1.0,16618.0,831.0,3465.0,,,,0.5729325270805238,0.0,0.0,595.0,6.606085944269625,117.87471155557776,29.68476719678099,34.32786885245902,736.0,3465.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.37,,29.68476719678099,,,,1.0,1.0,0.0,0.0,0.0
smart_8,p1_p4_recovery_6,NODE_14937,8.0,smart,1404.682,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,30.67,97.3,1.0,6.0,3480.0,3480.0,1.0,1.0,16618.0,864.0,3468.0,,,,0.5767607778309479,0.0,0.0,605.0,6.821835048486383,114.90177481090905,30.87731426301152,34.52459016393443,711.0,3468.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.67,,30.87731426301152,,,,1.0,1.0,0.0,1.0,5.0
baseline_9,p1_p4_recovery_6,NODE_14937,9.0,baseline,1402.504,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,30.67,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16613.0,929.0,3469.0,,,,0.5809370513768651,0.0,0.0,541.0,6.519214153238874,110.1321674432783,30.963830661734484,33.32786885245902,712.0,3469.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.67,,30.963830661734484,,,,1.0,1.0,0.0,0.0,0.0
smart_9,p1_p4_recovery_6,NODE_14937,9.0,smart,1397.469,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,31.4,91.5,1.0,6.0,3480.0,3480.0,1.0,1.0,16613.0,890.0,3465.0,,,,0.5764997607343281,0.0,0.0,495.0,7.077094806188192,114.00902545538588,31.564307619721628,28.639344262295083,601.0,3465.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.4,,31.564307619721628,,,,1.0,1.0,0.0,1.0,5.0
baseline_10,p1_p4_recovery_6,NODE_14937,10.0,baseline,1408.984,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,56.54,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16573.0,861.0,3461.0,,,,0.5764997607343281,0.0,0.0,613.0,3.606243285932373,159.52347855799596,56.814171907756815,83.11475409836065,628.0,3461.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56.54,,56.814171907756815,,,,1.0,1.0,0.0,0.0,0.0
smart_10,p1_p4_recovery_6,NODE_14937,10.0,smart,1427.458,600.0,0.0,0.1,2.0,6000.0,254.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,60.3,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16573.0,835.0,3465.0,,,,0.5753686866489756,0.0,0.0,607.0,2.7603663472400197,163.208697984569,60.7804828248859,104.8688524590164,631.0,3465.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.3,,60.7804828248859,,,,1.0,1.0,0.0,1.0,5.0
baseline_11,p1_p4_recovery_6,NODE_14937,11.0,baseline,1407.28,600.0,0.0,0.1,2.0,6000.0,1089.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.72,88.3,0.0,6.0,3480.0,3480.0,1.0,1.0,16669.0,840.0,3462.0,,,,0.5807195371296819,0.0,0.0,483.0,7.937618322341637,106.50769128666876,25.999287786863626,20.9344262295082,536.0,3462.0,125.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.72,,25.999287786863626,,,,1.0,1.0,0.0,0.0,0.0
